id,title,release_date
944,Lethal Weapon 4,1998-07-10
946,Letter from an Unknown Woman,1948-04-28
947,Lawrence of Arabia,1962-12-11
948,Halloween,1978-10-24
949,Heat,1995-12-15
950,Ice Age: The Meltdown,2006-03-29
951,Kindergarten Cop,1990-12-21
953,Madagascar,2005-05-25
954,Mission: Impossible,1996-05-22
955,Mission: Impossible II,2000-05-24
956,Mission: Impossible III,2006-04-25
957,Spaceballs,1987-06-24
961,The General,1926-12-25
962,The Gold Rush,1925-07-12
963,The Maltese Falcon,1941-10-18
964,The Phantom of the Opera,1925-09-22
965,The Magnificent Ambersons,1942-07-10
966,The Magnificent Seven,1960-10-12
967,Spartacus,1960-10-13
968,Dog Day Afternoon,1975-09-21
975,Paths of Glory,1957-10-25
976,Sweet Smell of Success,1957-07-04
977,Tabu,1931-08-01
978,Seven Years in Tibet,1997-09-12
979,Irreversible,2002-05-22
980,The Ox-Bow Incident,1943-03-11
981,The Philadelphia Story,1940-12-05
982,The Manchurian Candidate,1962-10-01
983,The Man Who Would Be King,1975-12-03
984,Dirty Harry,1971-12-22
985,Eraserhead,1977-03-19
986,Chimes at Midnight,1965-03-16
987,The Front Page,1974-11-01
988,The China Syndrome,1979-03-16
989,The Mortal Storm,1940-06-20
990,The Hustler,1961-09-25
991,The Man Who Fell to Earth,1976-03-18
992,Sherlock Jr.,1924-04-17
993,Sleuth,1972-12-10
994,Straw Dogs,1971-12-23
995,Stagecoach,1939-03-03
996,Double Indemnity,1944-06-14
1018,Mulholland Drive,2001-06-06
1023,Adam's Apples,2005-04-15
1024,Heavenly Creatures,1994-09-12
1039,The Inheritors,1998-06-19
1040,The Leopard,1963-03-28
1049,Sommersby,1993-02-05
1050,Shower,1999-09-13
1051,The French Connection,1971-10-09
1052,Blow-Up,1966-12-18
1058,Breathless,1983-05-13
1059,The Hidden Fortress,1958-12-28
1073,Arlington Road,1999-03-19
1075,"Black Cat, White Cat",1998-06-01
1088,Whale Rider,2003-01-30
1089,Point Break,1991-01-31
1090,The Thirteenth Floor,1999-04-16
1091,The Thing,1982-06-25
1092,The Third Man,1949-08-31
1093,Elevator to the Gallows,1958-01-29
1103,Escape from New York,1981-05-23
1114,The Story of the Weeping Camel,2003-06-29
1115,Ghosts,2005-09-15
1116,The Wind That Shakes the Barley,2006-03-23
1123,Catch a Fire,2006-10-27
1124,The Prestige,2006-10-19
1125,Dreamgirls,2006-12-25
1126,In My Father's Den,2004-10-07
1127,Princesses,2005-09-02
1162,The Miracle Worker,1962-05-23
1163,The Miracle Worker,2000-11-12
1164,Babel,2006-09-08
1165,The Queen,2006-09-15
1213,The Talented Mr. Ripley,1999-12-25
1244,Eight Miles High,2007-02-01
1245,The Remains of the Day,1993-11-05
1246,Rocky Balboa,2006-12-20
1247,The Good Shepherd,2006-12-11
1248,Hannibal Rising,2007-02-06
1249,Hollywoodland,2006-08-31
1250,Ghost Rider,2007-01-15
1251,Letters from Iwo Jima,2006-12-19
1252,Lonely Hearts,2006-04-30
1253,Breaking and Entering,2006-12-15
1254,"Don't Worry, I'm Fine",2006-09-06
1255,The Host,2006-07-27
1256,Dead in 3 days,2006-07-21
1257,Because I Said So,2007-02-02
1259,Notes on a Scandal,2006-12-25
1260,Lotte from Gadgetville,2006-08-25
1262,Stranger Than Fiction,2006-09-09
1263,Die Aufschneider,2007-02-08
1264,The Wild Soccer Bunch 4,2007-02-01
1265,Bridge to Terabithia,2007-02-15
1266,Street Kings,2008-04-10
1267,Meet the Robinsons,2007-03-23
1268,Mr. Bean's Holiday,2007-03-22
1269,The Vexxer,2007-03-10
1271,300,2007-03-07
1272,Sunshine,2007-04-05
1273,TMNT,2007-03-23
1277,Gloomy Sunday,1999-10-21
1278,The Dreamers,2003-09-01
1279,Samaritan Girl,2004-03-05
1280,3-Iron,2004-10-15
1281,Bean,1997-07-03
1282,Dogtown and Z-Boys,2001-01-18
1283,"Torrente, the Dumb Arm of the Law",1998-03-13
1284,Torrente 2: Mission in Marbella,2001-03-30
1285,Torrente 3: The Protector,2005-09-30
1294,Four Minutes,2006-06-23
1358,A Brief History of Time,1991-10-01
1359,American Psycho,2000-04-13
1360,Frida,2002-08-29
1361,The Return of the King,1980-05-11
1362,The Hobbit,1977-11-27
1363,The Hi-Lo Country,1998-12-30
1364,Sex and Lucía,2001-08-24
1365,Monster's Ball,2001-06-07
1366,Rocky,1976-11-21
1367,Rocky II,1979-06-15
1368,First Blood,1982-10-22
1369,Rambo: First Blood Part II,1985-05-21
1370,Rambo III,1988-05-24
1371,Rocky III,1982-05-28
1372,Blood Diamond,2006-12-08
1373,The Discovery of Heaven,2001-10-01
1374,Rocky IV,1985-11-21
1375,Rocky V,1990-11-16
1376,Sweet Sixteen,2002-09-07
1377,Houseboat,1958-11-19
1378,Shortbus,2006-10-04
1379,Lights in the Dusk,2006-02-03
1380,Gleaming the Cube,1989-01-13
1381,The Fountain,2006-11-22
1382,Me and You and Everyone We Know,2005-06-17
1386,Rendezvous,1976-01-01
1387,Superstar: The Karen Carpenter Story,1988-04-30
1388,The Way Things Go,1987-01-01
1389,Out of Sight,1998-06-26
1391,Y Tu Mamá También,2001-06-08
1392,Born Into Brothels: Calcutta's Red Light Kids,2004-12-08
1393,The Cave of the Yellow Dog,2005-07-27
1394,Nostalgia,1983-05-01
1396,Mirror,1975-03-07
1397,Wege Gottes,2007-01-01
1398,Stalker,1979-05-25
1402,The Pursuit of Happyness,2006-12-14
1403,Duel at Diablo,1966-06-15
1404,Ae Fond Kiss...,2004-02-13
1405,Greed,1924-12-04
1406,City Slickers,1991-06-07
1407,La Vie en Rose,2007-02-14
1408,Cutthroat Island,1995-12-22
1410,Dark Star,1974-04-01
1411,The Rapture,1991-10-04
1412,"sex, lies, and videotape",1989-08-04
1413,M. Butterfly,1993-09-09
1414,Lovers of the Arctic Circle,1998-09-04
1415,Party Monster,2003-09-05
1416,The Coast Guard,2002-11-22
1417,Pan's Labyrinth,2006-10-10
1418,Take My Eyes,2003-10-08
1419,Vollidiot,2007-04-11
1420,Breakfast on Pluto,2005-09-03
1421,The Man Who Loved Women,1977-04-27
1422,The Departed,2006-10-04
1423,Flying Saucer Rock 'N' Roll,2006-03-18
1424,November,2004-01-18
1426,Maria am Wasser,2007-03-08
1427,Perfume: The Story of a Murderer,2006-09-13
1428,Once Upon a Time in Mexico,2003-09-11
1429,25th Hour,2002-12-19
1430,Bowling for Columbine,2002-10-09
1433,The Devil's Backbone,2001-04-20
1435,Tarnation,2003-10-19
1436,The Warrior,2001-09-07
1437,Abgefahren,2004-03-31
1438,Regoch,2006-11-20
1439,Anna and the King,1999-12-16
1440,Little Children,2006-10-06
1441,The Contract,2006-04-05
1442,Full Metal Village,2007-04-19
1443,The Virgin Suicides,1999-12-31
1444,Junebug,2005-08-03
1448,The Wisdom of Crocodiles,1998-11-27
1450,Blood: The Last Vampire,2009-04-02
1452,Superman Returns,2006-06-28
1479,"Clean, Shaven",1993-09-05
1480,Touch of Evil,1958-03-30
1481,Metal Skin,1994-02-21
1482,Laws of Gravity,1992-03-21
1483,Begotten,1991-06-05
1484,The Deathmaker,1995-11-23
1485,Get Carter,1971-02-03
1487,Hellboy,2004-04-02
1488,Mongolian Ping Pong,2005-06-11
1490,Singendes Wasser,2007-01-01
1491,The Illusionist,2006-08-18
1492,1492: Conquest of Paradise,1992-10-09
1493,Miss Congeniality,2000-12-22
1494,Curse of the Golden Flower,2006-12-14
1495,Kingdom of Heaven,2005-05-03
1496,Cool as Ice,1991-10-18
1497,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991-03-22
1498,Teenage Mutant Ninja Turtles,1990-03-30
1499,Teenage Mutant Ninja Turtles III,1993-03-17
1523,The Last King of Scotland,2006-01-12
1534,Pathfinder,2007-01-11
1535,Spy Game,2001-11-18
1537,Changing Lanes,2002-04-07
1538,Collateral,2004-08-04
1539,Keine Lieder über Liebe,2005-10-26
1540,Heading South,2006-01-25
1541,Thelma & Louise,1991-05-24
1542,Office Space,1999-02-19
1543,Emma's Bliss,2006-07-16
1544,Imagine Me & You,2005-02-01
1546,Thumbsucker,2005-01-23
